timestamps,TP9,AF7,AF8,TP10,Right AUX
1560169075.425,22.949,30.762,27.832,15.137,-5.859
1560169075.429,1.465,30.273,30.762,-3.906,31.250
1560169075.433,0.977,30.273,30.273,-3.418,60.547
1560169075.437,4.395,31.250,29.297,-1.465,46.387
1560169075.441,20.020,29.785,26.367,17.578,-11.230
1560169075.444,18.066,25.879,21.973,18.066,-10.742
1560169075.448,-0.488,27.344,21.484,-7.812,-37.598
1560169075.452,-4.883,29.297,22.949,-10.254,-45.898
1560169075.456,-4.395,30.762,24.414,-2.930,51.270
1560169075.460,17.090,34.180,25.879,23.438,66.406
1560169075.464,26.367,31.738,26.367,25.879,48.828
1560169075.468,5.859,31.738,26.855,-0.488,38.086
1560169075.472,1.465,33.691,27.344,-0.488,7.324
1560169075.476,0.488,29.297,28.809,3.906,32.227
1560169075.480,11.719,28.320,27.832,19.531,94.727
1560169075.484,21.484,30.762,25.879,24.414,38.086
1560169075.487,8.301,31.738,26.367,2.930,17.090
1560169075.491,6.348,32.227,26.367,-3.906,46.875
1560169075.495,8.789,31.250,26.367,-2.930,9.277
1560169075.499,22.461,31.250,29.297,18.555,-5.859
1560169075.503,42.480,30.762,30.762,40.527,-4.883
1560169075.507,33.203,31.738,29.785,20.020,-15.625
1560169075.511,20.508,34.180,29.297,7.812,-15.625
1560169075.515,17.578,34.668,28.809,13.672,13.672
1560169075.519,32.227,33.691,24.414,28.809,50.293
1560169075.523,43.457,35.645,24.414,40.039,34.668
1560169075.527,21.973,34.180,27.832,14.160,43.945
1560169075.530,12.695,28.809,22.949,-1.953,11.719
1560169075.534,8.301,33.691,20.508,-0.977,-65.918
1560169075.538,16.602,34.668,22.461,11.719,40.527
1560169075.542,39.551,31.250,24.414,32.227,87.891
1560169075.546,23.926,32.715,23.926,15.625,68.848
1560169075.550,15.137,33.203,23.438,0.000,75.195
1560169075.554,15.625,33.691,22.949,1.953,4.883
1560169075.558,11.719,31.738,26.855,11.230,-34.180
1560169075.562,33.691,29.785,31.738,32.715,-12.207
1560169075.566,23.438,34.180,27.832,20.508,39.551
1560169075.569,6.836,34.668,23.438,2.441,48.340
1560169075.573,5.859,33.691,24.414,1.953,28.320
1560169075.577,12.695,34.180,25.391,9.277,5.859
1560169075.581,40.527,36.621,24.902,37.109,18.066
1560169075.585,35.156,33.691,22.461,27.832,53.223
1560169075.589,12.695,28.320,23.438,-0.488,13.672
1560169075.593,12.207,32.227,23.926,0.977,52.734
1560169075.597,19.043,33.203,21.973,10.254,110.352
1560169075.601,38.086,29.297,21.973,28.320,12.207
1560169075.605,37.109,32.715,19.043,21.973,-37.109
1560169075.609,19.531,36.133,20.020,3.418,17.578
1560169075.612,11.230,33.203,24.902,0.977,29.785
1560169075.616,9.277,35.645,25.391,0.000,3.418
1560169075.620,22.949,35.156,25.879,21.973,52.734
1560169075.624,27.832,33.691,22.949,23.438,77.637
1560169075.628,9.766,32.715,20.508,-1.953,53.711
1560169075.632,-4.395,27.344,22.461,-4.883,55.176
1560169075.636,-8.789,25.879,23.438,-3.418,20.996
1560169075.640,11.719,27.344,27.344,16.113,2.441
1560169075.644,21.973,27.832,29.785,20.996,39.062
